CURIE,Label,Type,Definition,Parent,Disjoint classes,Inverse property,Domain,Range,isPerformedAt,isPerformedOn,hasLocation,isResultOf,hasResult,hasSample,isSampleOf,ProcessInvolved,conductsExperimentsIn,hasSampleType,hasSampleID,isCollectedFrom,isMeasuredIn,isControlledByDevice,isMeasuredByDevice,makesMeasurement,hasMeasurement,isMeasurementOf,relatesToMeasurement,relatesToProperty,measuresProperty,detectProperty,isPropertyOf,hasProperty,hasSensorType,base_name,base_value,has_value,has_version,name,update_time
ID,AL rdfs:label@en,TYPE,AL rdfs:definitions@en,SC %,DC %,IP %,DOMAIN,RANGE,SC isPerformedAt only %,SC isPerformedOn only %,SC hasLocation only %,SC isResultOf only %,SC hasResult only %,SC hasSample only %,SC isSampleOf only %,SC ProcessInvolved only %,SC conductsExperimentsIn some % SPLIT=|,SC hasSampleType only %,SC hasSampleId exactly %,SC isCollectedFrom some % SPLIT=|,SC isMeasuredIn exactly % UnitOfMeasure,SC isControlledByDevice only %,SC isMeasuredByDevice only %,SC makesMeasurement only %,SC hasMeasurement only %,SC isMeasurementOf only %,SC relatesToMeasurement only %,SC relatesToProperty exactly % Property,SC measuresProperty only % SPLIT=|,SC detectProperty some % SPLIT=|,SC isPropertyOf only %,SC hasProperty only %,SC hasSensorType only %,SC base_name only %,SC base_value only %,SC has_value exactly % xsd:float,SC has_version only %,SC name only %,SC update_time only %
http://www.eionet.europa.eu/gemet/concept/11524,Domain,class,"Generally, land and water owned by individuals or corporations as opposed to the state; in French civil law, any government property capable of being owned by non-public entities, which cannot be seized and which is restricted to the stipulated ownership and use.",,,,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_9913,Cattle,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000078,Farm,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000294,Fishery,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/FOODON_00004298,Poultry,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00002221,Retailer,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C48289,Distributor,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000925,SlaughterHouse,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C92651,Processor,class,,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0000245,Organisation,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#e-nose,e-nose,class,"An electronic nose is an electronic sensing device intended to detect odors or flavors. The expression ""electronic sensing"" refers to the capability of reproducing human senses using sensor arrays and pattern recognition systems.",Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#FTIR,FTIR,class,"An FTIR sensor is a device that uses Fourier-transform infrared spectroscopy (FTIR) technology to detect and analyze the infrared absorption spectra of various substances. Fourier Transform Infrared (FTIR) analysis is a spectroscopic technique that makes use of the naturally occurring electromagnetic spectrum defined by the wavelengths between 2,500nm and 25,000nm.",Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#Freshdetect,FreshDetect,class,FreshDetect is a German company engaged in the manufacturing and supply of handheld sensors for analyzing microbiological quality to determine the freshness of meat and other food products in real time.,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#tHPLC,HPLC,class,An HPLC sensor is a device that is used in conjunction with a high-performance liquid chromatography (HPLC) system to detect and measure the concentration of various chemical compounds in a sample.,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#MSI,MSI,class,Multispectral imaging (MSI) is the system that involves capturing images of a scene or object over multiple discrete wavelength bands and extracting spectral content from that data.,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#NIR,NIR,class,"Near Infrared, or NIR, spectroscopy is an analysis technique for fast, accurate food testing. NIR measurement is a widely-used method in the food and drink and agricultural industries, and it is a convenient, low cost alternative to chemical analysis.",Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#GCMS,GCMS,class,"Combination of Gas Chromatography and Mass Spectrometry. A mass spectrometer is typically utilized in one of two ways: full scan or selective ion monitoring (SIM). The typical GC-MS instrument is capable of performing both functions either individually or concomitantly, depending on the setup of the particular instrument (Sounds like a parameter to supply). The columns represent for certain substances. As such, they are mappable to concepts (as opposed to the spectra where column headers are potentially infinite).",Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#FTIR-6200,FTIR-6200,class,"The FT/IR-6200 is a Fourier Transform Infrared Spectrometer manufactured by the company JASCO. It is a high-performance research-grade spectrometer that is used for the analysis of various samples in chemistry, materials science, and biology.",Device,,,,,,,,,,,,ImagingSpectroscopy,,,,,,,,,,,,,Wavelength,,,,FTIR,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#Fox3000,Fox3000,class,The FOX3000 e-nose device is an electronic nose system developed by Alpha MOS. The Fox 3000 provides either 12 sensors of same technology or 12 sensors of different type.,Device,,,,,,,,,,,,Chemical,,,,,,,,,,,,,,,,,e-nose,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#FreshDetectBFD-100,FreshDetectBFD-100,class,"BFD-100 is a handheld sensor of FreshDetect company. It is capable of determining bacterial contamination in pork in real time using a non-invasive, fluorescence spectroscopy measurement technique. This handheld device can be used to determine the total viable count in fresh meat in 3–5 seconds with laboratory quality reliability and accuracy.",Device,,,,,,,,,,,,ImagingSpectroscopy,,,,,,,,,,,,,Wavelength,,,,FreshDetect,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
